predicted_label,true_label,prob_attack,confidence,traffic_density,risk_score,risk_level,true_is_attack
SSH-Patator,BENIGN,1.0,0.9769,0.0,71.06,High,False
BENIGN,BENIGN,0.0,1.0,0.0,42.5,Medium,False
Web Attack - SQL Injection,BENIGN,1.0,0.9819,0.0001,71.06,High,False
FTP-Patator,BENIGN,1.0,0.9901,0.2236,71.06,High,False
BENIGN,BENIGN,0.0,1.0,0.0,42.5,Medium,False
SSH-Patator,BENIGN,1.0,0.9819,0.0,71.06,High,False
SSH-Patator,BENIGN,1.0,0.9772,0.0002,71.06,High,False
PortScan,BENIGN,1.0,0.9918,0.0089,71.06,High,False
PortScan,BENIGN,1.0,0.9698,0.0,71.06,High,False
FTP-Patator,BENIGN,1.0,1.0,0.3943,79.05,High,False
PortScan,BENIGN,1.0,0.2021,0.0,42.5,Medium,False
Bot,BENIGN,0.9955,0.991,0.0,71.06,High,False
DoS GoldenEye,BENIGN,1.0,1.0,0.0,71.06,High,False
DoS slowloris,BENIGN,1.0,0.9923,0.0,71.06,High,False
SSH-Patator,BENIGN,1.0,0.9998,0.0008,71.06,High,False
FTP-Patator,BENIGN,1.0,0.9997,0.1152,71.06,High,False
FTP-Patator,BENIGN,1.0,0.999,0.0816,71.06,High,False
SSH-Patator,BENIGN,1.0,0.9356,0.0007,71.06,High,False
PortScan,BENIGN,1.0,1.0,0.0022,71.06,High,False
SSH-Patator,BENIGN,1.0,0.9864,0.0001,71.06,High,False
SSH-Patator,BENIGN,1.0,0.9426,0.0013,71.06,High,False
DoS GoldenEye,BENIGN,1.0,0.9974,0.0,71.06,High,False
DoS GoldenEye,BENIGN,1.0,0.9986,0.0,71.06,High,False
PortScan,BENIGN,1.0,0.9819,0.0031,71.06,High,False
SSH-Patator,BENIGN,1.0,0.9561,0.0005,71.06,High,False
SSH-Patator,BENIGN,1.0,0.9999,0.0003,71.06,High,False
DoS Hulk,BENIGN,1.0,0.4965,0.0,42.5,Medium,False
Bot,BENIGN,0.9949,0.9898,0.0,71.06,High,False
SSH-Patator,BENIGN,1.0,0.9995,0.0002,71.06,High,False
PortScan,BENIGN,1.0,0.9707,0.0066,71.06,High,False
SSH-Patator,BENIGN,1.0,0.9097,0.0015,71.06,High,False
SSH-Patator,BENIGN,1.0,0.9325,0.0006,71.06,High,False
SSH-Patator,BENIGN,1.0,0.9783,0.0008,71.06,High,False
SSH-Patator,BENIGN,1.0,0.9999,0.0001,71.06,High,False
SSH-Patator,BENIGN,1.0,1.0,0.0002,71.06,High,False
PortScan,Bot,1.0,0.9997,0.0,71.06,High,True
PortScan,Bot,1.0,0.9834,0.0003,71.06,High,True
PortScan,Bot,1.0,0.9995,0.0695,71.06,High,True
PortScan,Bot,1.0,0.4377,0.0811,42.5,Medium,True
PortScan,Bot,1.0,0.6915,0.0135,68.85,High,True
PortScan,Bot,1.0,0.9706,0.0003,71.06,High,True
PortScan,Bot,1.0,0.5638,0.0608,44.86,Medium,True
PortScan,Bot,1.0,0.9996,0.0,71.06,High,True
PortScan,Bot,1.0,0.9995,0.0,71.06,High,True
PortScan,Bot,1.0,0.7606,0.0195,71.06,High,True
PortScan,Bot,1.0,0.7129,0.0295,70.9,High,True
PortScan,Bot,1.0,0.8226,0.0243,71.06,High,True
PortScan,Bot,1.0,0.9995,0.0,71.06,High,True
PortScan,Bot,1.0,0.9995,0.0,71.06,High,True
PortScan,Bot,1.0,0.9801,0.0004,71.06,High,True
PortScan,Bot,1.0,0.7089,0.0512,70.88,High,True
PortScan,Bot,1.0,0.8201,0.0001,71.06,High,True
PortScan,Bot,1.0,0.9996,0.0,71.06,High,True
Bot,Bot,1.0,0.9932,0.0199,71.06,High,True
Bot,Bot,1.0,0.9943,0.0463,71.06,High,True
PortScan,Bot,1.0,0.9825,0.0005,71.06,High,True
PortScan,Bot,1.0,0.7198,0.0278,70.93,High,True
PortScan,Bot,1.0,0.9777,0.0004,71.06,High,True
Bot,Bot,1.0,1.0,0.3243,72.17,High,True
PortScan,Bot,1.0,0.9784,0.0004,71.06,High,True
PortScan,Bot,1.0,0.6191,0.0649,54.37,Medium,True
PortScan,Bot,1.0,0.6743,0.0111,65.1,High,True
PortScan,Bot,1.0,0.9707,0.0003,71.06,High,True
PortScan,Bot,1.0,0.9792,0.0004,71.06,High,True
PortScan,Bot,1.0,0.9625,0.0003,71.06,High,True
PortScan,Bot,1.0,0.9821,0.0005,71.06,High,True
PortScan,Bot,1.0,0.8436,0.0278,71.06,High,True
PortScan,Bot,1.0,0.9996,0.0,71.06,High,True
PortScan,Bot,1.0,0.9995,0.0,71.06,High,True
PortScan,Bot,1.0,0.3879,0.0748,42.5,Medium,True
PortScan,Bot,1.0,0.2782,0.0001,42.5,Medium,True
PortScan,Bot,1.0,0.9995,0.0,71.06,High,True
PortScan,Bot,1.0,0.5723,0.0748,46.3,Medium,True
PortScan,Bot,1.0,0.9738,0.0003,71.06,High,True
PortScan,Bot,1.0,0.7627,0.0195,71.06,High,True
Bot,Bot,1.0,0.9933,0.0184,71.06,High,True
PortScan,Bot,1.0,0.9809,0.0004,71.06,High,True
PortScan,Bot,1.0,0.9777,0.0004,71.06,High,True
PortScan,Bot,1.0,0.7429,0.0295,71.03,High,True
PortScan,Bot,1.0,0.9795,0.0004,71.06,High,True
PortScan,Bot,1.0,0.9795,0.0004,71.06,High,True
PortScan,Bot,1.0,0.5632,0.0105,44.76,Medium,True
FTP-Patator,Bot,1.0,0.0102,0.0184,42.5,Medium,True
PortScan,Bot,1.0,0.98,0.0004,71.06,High,True
Bot,Bot,1.0,0.9947,0.0512,71.06,High,True
FTP-Patator,Bot,1.0,0.0606,0.0135,42.5,Medium,True
PortScan,Bot,1.0,0.9833,0.0005,71.06,High,True
PortScan,Bot,1.0,0.6834,0.0249,67.06,High,True
PortScan,Bot,1.0,0.9996,0.0,71.06,High,True
PortScan,Bot,1.0,0.9806,0.0004,71.06,High,True
PortScan,Bot,1.0,0.9741,0.0885,71.06,High,True
PortScan,Bot,1.0,0.978,0.0004,71.06,High,True
PortScan,Bot,1.0,0.9815,0.0004,71.06,High,True
PortScan,Bot,1.0,0.9771,0.0004,71.06,High,True
PortScan,Bot,1.0,0.9764,0.0003,71.06,High,True
PortScan,Bot,1.0,0.7589,0.0203,71.06,High,True
PortScan,Bot,1.0,0.9813,0.0004,71.06,High,True
Bot,Bot,1.0,1.0,0.3243,72.17,High,True
Bot,Bot,1.0,0.9943,0.0463,71.06,High,True
PortScan,Bot,1.0,0.7267,0.0295,70.96,High,True
PortScan,Bot,1.0,0.5471,0.0078,42.5,Medium,True
PortScan,Bot,1.0,0.7595,0.0191,71.06,High,True
PortScan,Bot,1.0,0.9793,0.0004,71.06,High,True
Bot,Bot,1.0,1.0,0.2432,71.06,High,True
PortScan,Bot,1.0,0.9995,0.0,71.06,High,True
PortScan,Bot,1.0,0.9996,0.0,71.06,High,True
PortScan,Bot,1.0,0.7447,0.0207,71.04,High,True
PortScan,Bot,1.0,0.7614,0.0263,71.06,High,True
PortScan,Bot,1.0,0.7427,0.0263,71.03,High,True
Bot,Bot,1.0,0.9933,0.0187,71.06,High,True
PortScan,Bot,1.0,0.9786,0.0004,71.06,High,True
PortScan,Bot,1.0,0.7163,0.0314,70.92,High,True
PortScan,Bot,1.0,0.9996,0.0,71.06,High,True
PortScan,Bot,1.0,0.7616,0.0199,71.06,High,True
PortScan,Bot,1.0,0.9997,0.0,71.06,High,True
PortScan,Bot,1.0,0.6909,0.0243,68.72,High,True
Bot,Bot,1.0,0.9983,0.0885,71.06,High,True
PortScan,Bot,1.0,0.9995,0.0,71.06,High,True
PortScan,Bot,1.0,0.9791,0.0004,71.06,High,True
PortScan,Bot,1.0,0.9693,0.0003,71.06,High,True
PortScan,Bot,1.0,0.9231,0.0002,71.06,High,True
PortScan,Bot,1.0,0.6848,0.0243,67.36,High,True
Bot,Bot,1.0,0.9939,0.0423,71.06,High,True
Bot,Bot,1.0,0.9958,0.0541,71.06,High,True
Bot,Bot,1.0,1.0,0.2432,71.06,High,True
Bot,Bot,1.0,0.9932,0.0199,71.06,High,True
PortScan,Bot,1.0,0.7608,0.0203,71.06,High,True
PortScan,Bot,1.0,0.9996,0.0,71.06,High,True
PortScan,Bot,1.0,0.9801,0.0004,71.06,High,True
PortScan,Bot,1.0,0.7644,0.0207,71.06,High,True
Bot,Bot,1.0,0.9999,0.2432,71.06,High,True
PortScan,Bot,1.0,0.7233,0.0463,70.95,High,True
Bot,Bot,1.0,1.0,0.3243,72.17,High,True
PortScan,Bot,1.0,0.9813,0.0004,71.06,High,True
PortScan,Bot,1.0,0.9997,0.0,71.06,High,True
PortScan,Bot,1.0,0.9996,0.0,71.06,High,True
Bot,Bot,1.0,1.0,0.0173,71.06,High,True
PortScan,Bot,1.0,0.9806,0.0004,71.06,High,True
PortScan,Bot,1.0,0.9996,0.0,71.06,High,True
PortScan,Bot,1.0,0.9811,0.0004,71.06,High,True
PortScan,Bot,1.0,0.9798,0.0004,71.06,High,True
Bot,Bot,1.0,1.0,0.0508,71.06,High,True
PortScan,Bot,1.0,0.7164,0.0152,70.92,High,True
PortScan,Bot,1.0,0.9996,0.0,71.06,High,True
Bot,Bot,1.0,1.0,0.3243,72.17,High,True
Bot,Bot,1.0,0.9939,0.0423,71.06,High,True
PortScan,Bot,1.0,0.9732,0.0003,71.06,High,True
PortScan,Bot,1.0,0.973,0.0003,71.06,High,True
Bot,Bot,1.0,0.8629,0.139,71.06,High,True
PortScan,Bot,1.0,0.9798,0.0004,71.06,High,True
PortScan,Bot,1.0,0.9805,0.0004,71.06,High,True
PortScan,Bot,1.0,0.9996,0.0,71.06,High,True
PortScan,Bot,1.0,0.7066,0.0512,70.87,High,True
Bot,Bot,1.0,0.9945,0.0486,71.06,High,True
PortScan,Bot,1.0,0.9995,0.0,71.06,High,True
PortScan,Bot,1.0,0.9814,0.0004,71.06,High,True
PortScan,Bot,1.0,0.1164,0.0304,42.5,Medium,True
PortScan,Bot,1.0,0.5433,0.0064,42.5,Medium,True
PortScan,Bot,1.0,0.9996,0.0,71.06,High,True
Bot,Bot,1.0,0.9708,0.973,92.22,Critical,True
PortScan,Bot,1.0,0.9775,0.0004,71.06,High,True
PortScan,Bot,1.0,0.7149,0.0336,70.91,High,True
PortScan,Bot,1.0,0.9814,0.0004,71.06,High,True
PortScan,Bot,1.0,0.6272,0.0203,55.87,Medium,True
FTP-Patator,Bot,1.0,0.9709,0.027,71.06,High,True
PortScan,Bot,1.0,0.8824,0.0002,71.06,High,True
PortScan,Bot,1.0,0.8064,0.0001,71.06,High,True
PortScan,Bot,1.0,0.9785,0.0004,71.06,High,True
DDoS,DDoS,1.0,1.0,0.0031,71.06,High,True
DDoS,DDoS,1.0,1.0,0.0087,71.06,High,True
DDoS,DDoS,1.0,1.0,0.0005,71.06,High,True
Web Attack - Brute Force,DDoS,1.0,0.9705,0.0,71.06,High,True
DDoS,DDoS,1.0,0.973,0.0,71.06,High,True
DDoS,DDoS,1.0,1.0,0.0084,71.06,High,True
DDoS,DDoS,1.0,1.0,0.0042,71.06,High,True
DDoS,DDoS,1.0,1.0,0.0012,71.06,High,True
DDoS,DDoS,1.0,1.0,0.0006,71.06,High,True
Web Attack - Brute Force,DDoS,1.0,1.0,0.0,71.06,High,True
DDoS,DDoS,1.0,1.0,0.0005,71.06,High,True
DDoS,DDoS,1.0,0.9455,0.0,71.06,High,True
FTP-Patator,DDoS,1.0,0.6828,0.0,66.92,High,True
DDoS,DDoS,1.0,1.0,0.0027,71.06,High,True
DDoS,DDoS,1.0,1.0,0.0006,71.06,High,True
SSH-Patator,DDoS,1.0,0.9777,0.0,71.06,High,True
DDoS,DDoS,1.0,1.0,0.0013,71.06,High,True
Web Attack - Brute Force,DDoS,1.0,1.0,0.0,71.06,High,True
FTP-Patator,DDoS,1.0,0.0425,0.0,42.5,Medium,True
Web Attack - Brute Force,DDoS,1.0,0.9994,0.0,71.06,High,True
DDoS,DDoS,1.0,0.1362,0.0001,42.5,Medium,True
FTP-Patator,DDoS,1.0,0.9315,0.0,71.06,High,True
Web Attack - Brute Force,DDoS,1.0,1.0,0.0,71.06,High,True
DDoS,DDoS,1.0,1.0,0.003,71.06,High,True
DDoS,DDoS,1.0,0.4412,0.0,42.5,Medium,True
DDoS,DDoS,1.0,1.0,0.0035,71.06,High,True
Web Attack - SQL Injection,DDoS,1.0,0.027,0.0,42.5,Medium,True
DDoS,DDoS,1.0,1.0,0.0339,71.06,High,True
Web Attack - Brute Force,DDoS,1.0,0.9999,0.0,71.06,High,True
DoS Hulk,DDoS,1.0,0.4813,0.0,42.5,Medium,True
DDoS,DDoS,1.0,0.7566,0.0,71.06,High,True
DDoS,DDoS,1.0,1.0,0.0005,71.06,High,True
DDoS,DDoS,1.0,1.0,0.0077,71.06,High,True
DDoS,DDoS,1.0,0.1144,0.0,42.5,Medium,True
DoS Hulk,DDoS,1.0,0.8573,0.0,71.06,High,True
DDoS,DDoS,1.0,1.0,0.0024,71.06,High,True
SSH-Patator,DDoS,1.0,0.9058,0.0,71.06,High,True
DDoS,DDoS,1.0,1.0,0.0048,71.06,High,True
DDoS,DDoS,1.0,0.9318,0.0,71.06,High,True
DDoS,DDoS,1.0,1.0,0.0213,71.06,High,True
Web Attack - Brute Force,DDoS,1.0,0.8042,0.0,71.06,High,True
DDoS,DDoS,1.0,1.0,0.0005,71.06,High,True
DDoS,DDoS,1.0,1.0,0.0244,71.06,High,True
Web Attack - Brute Force,DDoS,1.0,1.0,0.0,71.06,High,True
DDoS,DDoS,1.0,1.0,0.0159,71.06,High,True
DDoS,DDoS,1.0,1.0,0.0008,71.06,High,True
Web Attack - Brute Force,DDoS,1.0,0.8575,0.0,71.06,High,True
DDoS,DDoS,1.0,1.0,0.0006,71.06,High,True
DoS Hulk,DDoS,1.0,0.9821,0.0,71.06,High,True
DDoS,DDoS,1.0,1.0,0.0019,71.06,High,True
Web Attack - Brute Force,DDoS,1.0,1.0,0.0,71.06,High,True
DDoS,DDoS,1.0,0.9989,0.0001,71.06,High,True
DDoS,DDoS,1.0,1.0,0.0008,71.06,High,True
DDoS,DDoS,1.0,1.0,0.0187,71.06,High,True
DDoS,DDoS,1.0,1.0,0.0023,71.06,High,True
DDoS,DDoS,1.0,1.0,0.0018,71.06,High,True
FTP-Patator,DDoS,1.0,0.9671,0.0,71.06,High,True
DoS Hulk,DDoS,1.0,0.9668,0.0,71.06,High,True
DDoS,DDoS,1.0,1.0,0.0021,71.06,High,True
Web Attack - Brute Force,DDoS,1.0,1.0,0.0,71.06,High,True
DDoS,DDoS,1.0,0.9354,0.0,71.06,High,True
Web Attack - Brute Force,DDoS,1.0,0.9974,0.0,71.06,High,True
DDoS,DDoS,1.0,0.6729,0.0,64.82,High,True
DDoS,DDoS,1.0,0.9992,0.0,71.06,High,True
DoS Hulk,DDoS,1.0,0.6711,0.0,64.44,High,True
DDoS,DDoS,1.0,1.0,0.0013,71.06,High,True
DDoS,DDoS,1.0,1.0,0.0281,71.06,High,True
DDoS,DDoS,1.0,1.0,0.0258,71.06,High,True
DDoS,DDoS,1.0,1.0,0.002,71.06,High,True
FTP-Patator,DDoS,1.0,0.9781,0.0,71.06,High,True
Web Attack - Brute Force,DDoS,1.0,0.9998,0.0,71.06,High,True
DDoS,DDoS,1.0,1.0,0.0015,71.06,High,True
Web Attack - Brute Force,DDoS,1.0,1.0,0.0,71.06,High,True
Web Attack - Brute Force,DDoS,1.0,1.0,0.0,71.06,High,True
DDoS,DDoS,1.0,1.0,0.0029,71.06,High,True
DDoS,DDoS,1.0,1.0,0.0005,71.06,High,True
FTP-Patator,DDoS,1.0,0.5719,0.0,46.24,Medium,True
DDoS,DDoS,1.0,1.0,0.0056,71.06,High,True
DDoS,DDoS,1.0,1.0,0.0062,71.06,High,True
SSH-Patator,DDoS,1.0,0.9778,0.0,71.06,High,True
DoS Hulk,DDoS,1.0,0.9945,0.0,71.06,High,True
Web Attack - Brute Force,DDoS,1.0,1.0,0.0,71.06,High,True
Web Attack - Brute Force,DDoS,1.0,1.0,0.0,71.06,High,True
DDoS,DDoS,1.0,1.0,0.0007,71.06,High,True
Web Attack - Brute Force,DDoS,1.0,1.0,0.0,71.06,High,True
DDoS,DDoS,1.0,1.0,0.0009,71.06,High,True
DDoS,DDoS,1.0,1.0,0.0018,71.06,High,True
SSH-Patator,DDoS,1.0,0.9662,0.0,71.06,High,True
DDoS,DDoS,1.0,1.0,0.0005,71.06,High,True
SSH-Patator,DDoS,1.0,0.9779,0.0,71.06,High,True
DDoS,DDoS,1.0,1.0,0.0162,71.06,High,True
DDoS,DDoS,1.0,1.0,0.0215,71.06,High,True
DDoS,DDoS,1.0,1.0,0.0018,71.06,High,True
DDoS,DDoS,1.0,1.0,0.0041,71.06,High,True
DDoS,DDoS,1.0,1.0,0.0005,71.06,High,True
Web Attack - Brute Force,DDoS,1.0,0.9899,0.0,71.06,High,True
DDoS,DDoS,1.0,1.0,0.0008,71.06,High,True
DDoS,DDoS,1.0,1.0,0.0019,71.06,High,True
DDoS,DDoS,1.0,1.0,0.0006,71.06,High,True
DDoS,DDoS,1.0,1.0,0.0128,71.06,High,True
DoS Hulk,DDoS,1.0,0.1061,0.0,42.5,Medium,True
DDoS,DDoS,1.0,0.9944,0.0001,71.06,High,True
Web Attack - Brute Force,DDoS,1.0,0.9997,0.0,71.06,High,True
DDoS,DDoS,1.0,1.0,0.0013,71.06,High,True
DDoS,DDoS,1.0,1.0,0.0525,71.06,High,True
DDoS,DDoS,1.0,1.0,0.0,71.06,High,True
DoS Hulk,DDoS,1.0,0.7469,0.0,71.05,High,True
FTP-Patator,DDoS,1.0,0.9753,0.0,71.06,High,True
SSH-Patator,DDoS,1.0,0.9776,0.0,71.06,High,True
Web Attack - Brute Force,DDoS,1.0,0.9999,0.0,71.06,High,True
DDoS,DDoS,1.0,1.0,0.0166,71.06,High,True
DDoS,DDoS,1.0,1.0,0.0042,71.06,High,True
FTP-Patator,DDoS,1.0,0.9641,0.0,71.06,High,True
DDoS,DDoS,1.0,1.0,0.0009,71.06,High,True
Web Attack - Brute Force,DDoS,1.0,0.4176,0.0,42.5,Medium,True
DDoS,DDoS,1.0,1.0,0.0014,71.06,High,True
DDoS,DDoS,1.0,1.0,0.0006,71.06,High,True
DDoS,DDoS,1.0,1.0,0.0492,71.06,High,True
DDoS,DDoS,1.0,0.779,0.0,71.06,High,True
DDoS,DDoS,1.0,1.0,0.0349,71.06,High,True
DDoS,DDoS,1.0,1.0,0.0013,71.06,High,True
DDoS,DDoS,1.0,1.0,0.0011,71.06,High,True
DDoS,DDoS,1.0,1.0,0.0005,71.06,High,True
DDoS,DDoS,1.0,1.0,0.0006,71.06,High,True
DDoS,DDoS,1.0,1.0,0.0322,71.06,High,True
Web Attack - Brute Force,DDoS,1.0,1.0,0.0,71.06,High,True
Web Attack - Brute Force,DDoS,1.0,0.9997,0.0,71.06,High,True
DDoS,DDoS,1.0,1.0,0.0011,71.06,High,True
Web Attack - Brute Force,DDoS,1.0,1.0,0.0,71.06,High,True
Web Attack - Brute Force,DDoS,1.0,0.9791,0.0,71.06,High,True
DDoS,DDoS,1.0,1.0,0.0008,71.06,High,True
FTP-Patator,DDoS,1.0,0.8942,0.0,71.06,High,True
DDoS,DDoS,1.0,0.9996,0.0,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0002,71.06,High,True
Web Attack - SQL Injection,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,0.9999,0.0,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
SSH-Patator,DoS GoldenEye,1.0,0.9807,0.0,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,0.3032,0.0,42.5,Medium,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
DoS slowloris,DoS GoldenEye,1.0,1.0,0.0,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,0.9996,0.0,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0002,71.06,High,True
DoS slowloris,DoS GoldenEye,1.0,1.0,0.0,71.06,High,True
SSH-Patator,DoS GoldenEye,1.0,0.9803,0.0,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0,71.06,High,True
